Date,Reservoir,Full Tank Level (ft),Full Capacity mcft,Level (ft),Storage Mcft,Inflow (cusecs),Outflow (cusecs),Rainfall (mm),Storage as on same day last year (mcft)
21-11-2013,CHEMBARAMBAKKAM,85.4,3645,73.19,999,130,72,0,1214
22-11-2013,CHEMBARAMBAKKAM,85.4,3645,73.19,999,72,72,0,1207
23-11-2013,CHEMBARAMBAKKAM,85.4,3645,73.15,993,0,72,0,1200
24-11-2013,CHEMBARAMBAKKAM,85.4,3645,73.12,988,0,59,2,1192
25-11-2013,CHEMBARAMBAKKAM,85.4,3645,73.09,984,0,54,0,1185
26-11-2013,CHEMBARAMBAKKAM,85.4,3645,73.04,976,0,58,0,1177
27-11-2013,CHEMBARAMBAKKAM,85.4,3645,73.02,972,0,52,0,1169
28-11-2013,CHEMBARAMBAKKAM,85.4,3645,72.98,968,0,52,0,1162
29-11-2013,CHEMBARAMBAKKAM,85.4,3645,72.96,964,0,50,0,1155
30-11-2013,CHEMBARAMBAKKAM,85.4,3645,72.93,960,0,52,0,1148
01-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.9,956,0,50,2,1141
02-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.87,951,0,58,5,1134
03-12-2013,CHEMBARAMBAKKAM,85.4,3645,73.05,975,328,50,30,1127
04-12-2013,CHEMBARAMBAKKAM,85.4,3645,73.1,985,166,50,0,1227
05-12-2013,CHEMBARAMBAKKAM,85.4,3645,73.13,990,75,72,0,1307
06-12-2013,CHEMBARAMBAKKAM,85.4,3645,73.09,984,0,72,0,1332
07-12-2013,CHEMBARAMBAKKAM,85.4,3645,73.05,978,0,77,0,1345
08-12-2013,CHEMBARAMBAKKAM,85.4,3645,73.01,972,0,72,3,1350
09-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.97,966,0,72,0,1352
10-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.92,959,0,84,0,1352
11-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.88,953,0,72,0,1349
12-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.84,947,0,72,0,1342
13-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.89,954,80,72,11,1335
14-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.89,954,70,70,2,1327
15-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.85,948,0,72,0,1320
16-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.8,942,0,72,0,1310
17-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.76,936,0,72,0,1300
18-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.72,930,0,72,0,1290
19-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.68,925,0,58,0,1280
20-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.65,920,0,58,0,1270
21-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.62,916,0,54,0,1259
22-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.59,912,0,50,0,1248
23-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.56,909,0,44,0,1236
24-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.55,906,0,47,0,1225
25-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.52,902,0,46,0,1215
26-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.49,898,0,46,0,1207
27-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.47,894,0,46,0,1198
28-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.44,890,0,46,0,1190
29-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.42,887,0,46,0,1181
30-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.39,883,0,46,0,1226
31-12-2013,CHEMBARAMBAKKAM,85.4,3645,72.36,879,0,46,0,1234
01-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.56,1211,88,88,5,749
02-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.57,1213,109,86,5,745
03-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.57,1213,86,86,10,740
04-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.53,1206,0,82,0,749
05-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.48,1199,0,86,0,751
06-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.44,1192,0,82,0,751
07-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.4,1185,0,86,0,747
08-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.35,1177,0,92,0,743
09-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.3,1169,0,92,0,739
10-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.25,1162,0,88,0,735
11-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.2,1154,0,88,0,731
12-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.2,1154,82,82,15,726
13-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.58,1214,776,82,82,722
14-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.79,1250,499,82,82,717
15-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.97,1279,428,92,10,713
16-11-2014,CHEMBARAMBAKKAM,85.4,3645,75.02,1288,190,86,0,713
17-11-2014,CHEMBARAMBAKKAM,85.4,3645,75.02,1288,86,86,0,816
18-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.98,1281,86,82,0,868
19-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.94,1274,0,84,0,962
20-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.9,1267,0,82,0,994
21-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.86,1260,0,80,0,999
22-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.81,1253,0,82,0,999
23-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.77,1246,0,82,0,993
24-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.73,1239,0,78,0,988
25-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.68,1231,0,92,0,984
26-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.64,1224,0,88,0,976
27-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.59,1217,0,82,0,972
28-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.55,1210,0,88,0,968
29-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.51,1203,0,88,0,964
30-11-2014,CHEMBARAMBAKKAM,85.4,3645,74.48,1196,0,82,0,960
01-12-2014,CHEMBARAMBAKKAM,85.4,3645,74.42,1189,0,88,3,956
02-12-2014,CHEMBARAMBAKKAM,85.4,3645,74.37,1181,0,92,0,951
03-12-2014,CHEMBARAMBAKKAM,85.4,3645,74.32,1173,0,92,0,975
04-12-2014,CHEMBARAMBAKKAM,85.4,3645,74.27,1165,0,92,0,985
05-12-2014,CHEMBARAMBAKKAM,85.4,3645,74.23,1158,0,82,0,990
06-12-2014,CHEMBARAMBAKKAM,85.4,3645,44.18,1151,0,78,0,984
07-12-2014,CHEMBARAMBAKKAM,85.4,3645,74.15,1145,0,74,0,978
08-12-2014,CHEMBARAMBAKKAM,85.4,3645,74.11,1139,0,74,0,972
09-12-2014,CHEMBARAMBAKKAM,85.4,3645,74.07,1133,0,70,0,966
10-12-2014,CHEMBARAMBAKKAM,85.4,3645,74.01,1123,0,113,0,959
11-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.96,1115,0,92,10,953
12-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.91,1107,0,92,12,947
13-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.86,1100,0,78,0,954
14-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.82,1094,0,74,15,954
15-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.78,1088,0,74,0,948
16-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.74,1082,0,70,0,942
17-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.7,1076,0,70,0,936
18-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.67,1070,0,70,0,930
19-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.62,1063,0,86,0,925
20-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.57,1056,0,86,0,920
21-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.52,1048,0,92,0,916
22-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.47,1040,0,92,0,912
23-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.42,1032,0,92,0,909
24-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.36,1024,0,92,0,906
25-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.31,1016,0,92,0,902
26-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.25,1008,0,92,0,898
27-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.2,1000,0,92,0,894
28-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.15,992,0,92,0,890
29-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.09,984,0,92,10,887
30-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.09,984,92,92,45,883
31-12-2014,CHEMBARAMBAKKAM,85.4,3645,73.04,976,0,92,0,879
01-11-2015,CHEMBARAMBAKKAM,85.4,3645,66.48,228,127,46,27,1211
02-11-2015,CHEMBARAMBAKKAM,85.4,3645,66.62,239,180,46,22,1213
03-11-2015,CHEMBARAMBAKKAM,85.4,3645,66.7,245,115,48,2,1213
04-11-2015,CHEMBARAMBAKKAM,85.4,3645,66.8,254,150,50,5,1206
05-11-2015,CHEMBARAMBAKKAM,85.4,3645,66.8,254,46,46,0,1199
06-11-2015,CHEMBARAMBAKKAM,85.4,3645,66.78,252,24,48,0,1192
07-11-2015,CHEMBARAMBAKKAM,85.4,3645,66.73,248,0,48,0,1185
08-11-2015,CHEMBARAMBAKKAM,85.4,3645,66.96,267,276,50,34,1177
09-11-2015,CHEMBARAMBAKKAM,85.4,3645,69.41,508,2839,50,188,1169
10-11-2015,CHEMBARAMBAKKAM,85.4,3645,71.72,791,3330,54,92,1162
11-11-2015,CHEMBARAMBAKKAM,85.4,3645,72.4,885,1159,71,5,1154
12-11-2015,CHEMBARAMBAKKAM,85.4,3645,73.23,1004,1448,71,44,1154
13-11-2015,CHEMBARAMBAKKAM,85.4,3645,74.75,1243,2837,71,75,1214
14-11-2015,CHEMBARAMBAKKAM,85.4,3645,76.95,1634,4589,74,26,1250
15-11-2015,CHEMBARAMBAKKAM,85.4,3645,78.15,1869,2784,64,3,1279
16-11-2015,CHEMBARAMBAKKAM,85.4,3645,81.8,2703,9717,64,282,1288
17-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.7,3197,12031,18000,25,1288
18-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.1,3040,4247,800,0,1281
19-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.45,3132,1624,500,3,1274
20-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.97,3268,3798,4000,55,1267
21-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.7,3197,2178,2000,15,1260
22-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.6,3172,1460,1500,22,1253
23-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.8,3223,3649,4000,44,1246
24-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.8,3223,5842,6000,109,1239
25-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.68,3191,5629,5000,0,1231
26-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.48,3140,2165,2500,0,1224
27-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.4,3120,1100,1000,0,1217
28-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.41,3125,610,500,0,1210
29-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.45,3132,510,570,3,1203
30-11-2015,CHEMBARAMBAKKAM,85.4,3645,83.42,3126,500,600,17,1196
01-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.48,3141,960,900,17,1189
02-12-2015,CHEMBARAMBAKKAM,85.4,3645,84.47,3396,26000,29000,475,1181
03-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.3,3094,10200,11000,35,1173
04-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.45,3132,4900,5000,12,1165
05-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.35,3108,3493,3500,40,1158
06-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.15,3053,2363,3000,14,1151
07-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.08,3035,3167,4000,38,1145
08-12-2015,CHEMBARAMBAKKAM,85.4,3645,82.9,2986,200,178,0,1139
09-12-2015,CHEMBARAMBAKKAM,85.4,3645,82.96,3002,685,790,2,1133
10-12-2015,CHEMBARAMBAKKAM,85.4,3645,82.89,2984,896,900,4,1123
11-12-2015,CHEMBARAMBAKKAM,85.4,3645,82.9,2986,107,84,0,1115
12-12-2015,CHEMBARAMBAKKAM,85.4,3645,82.98,2991,147,89,0,1107
13-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.05,3028,520,92,0,1100
14-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.23,3075,647,93,0,1094
15-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.41,3123,645,89,0,1088
16-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.59,3169,617,85,0,1082
17-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.77,3215,617,93,0,1076
18-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.74,3208,433,101,0,1070
19-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.74,3208,101,101,0,1063
20-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.74,3208,101,101,0,1056
21-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.74,3208,101,101,0,1048
22-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.74,3208,101,101,0,1040
23-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.74,3208,94,94,0,1032
24-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.74,3208,64,64,0,1024
25-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.74,3208,56,56,0,1016
26-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.73,3205,40,56,0,1008
27-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.71,3199,30,99,0,1000
28-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.66,3187,0,100,0,992
29-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.63,3179,0,99,0,984
30-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.6,3171,0,92,0,984
31-12-2015,CHEMBARAMBAKKAM,85.4,3645,83.56,3162,0,109,0,976
01-11-2016,CHEMBARAMBAKKAM,85.4,3645,69.94,569,0,151,0,228
02-11-2016,CHEMBARAMBAKKAM,85.4,3645,69.83,556,0,151,0,239
03-11-2016,CHEMBARAMBAKKAM,85.4,3645,69.72,543,0,149,14,245
04-11-2016,CHEMBARAMBAKKAM,85.4,3645,69.6,530,0,151,2,254
05-11-2016,CHEMBARAMBAKKAM,85.4,3645,69.49,517,0,151,0,254
06-11-2016,CHEMBARAMBAKKAM,85.4,3645,69.38,504,0,147,0,252
07-11-2016,CHEMBARAMBAKKAM,85.4,3645,69.26,491,153,151,0,248
08-11-2016,CHEMBARAMBAKKAM,85.4,3645,69.14,478,0,151,0,267
09-11-2016,CHEMBARAMBAKKAM,85.4,3645,69.02,465,0,150,0,508
10-11-2016,CHEMBARAMBAKKAM,85.4,3645,68.9,452,0,151,0,791
11-11-2016,CHEMBARAMBAKKAM,85.4,3645,68.78,439,0,149,0,885
12-11-2016,CHEMBARAMBAKKAM,85.4,3645,68.66,426,0,151,0,1004
13-11-2016,CHEMBARAMBAKKAM,85.4,3645,68.53,413,0,151,0,1243
14-11-2016,CHEMBARAMBAKKAM,85.4,3645,68.48,408,0,55,7,1634
15-11-2016,CHEMBARAMBAKKAM,85.4,3645,68.43,403,0,56,0,1869
16-11-2016,CHEMBARAMBAKKAM,85.4,3645,68.33,393,0,120,3,2703
17-11-2016,CHEMBARAMBAKKAM,85.4,3645,68.2,380,0,151,5,3197
18-11-2016,CHEMBARAMBAKKAM,85.4,3645,68.06,367,0,151,0,3040
19-11-2016,CHEMBARAMBAKKAM,85.4,3645,67.93,354,0,151,0,3132
20-11-2016,CHEMBARAMBAKKAM,85.4,3645,67.79,341,0,151,0,3268
21-11-2016,CHEMBARAMBAKKAM,85.4,3645,67.65,328,0,151,0,3197
22-11-2016,CHEMBARAMBAKKAM,85.4,3645,67.53,317,0,131,0,3172
23-11-2016,CHEMBARAMBAKKAM,85.4,3645,67.44,309,0,92,0,3223
24-11-2016,CHEMBARAMBAKKAM,85.4,3645,66.33,299,0,115,0,3223
25-11-2016,CHEMBARAMBAKKAM,85.4,3645,67.23,290,0,108,0,3191
26-11-2016,CHEMBARAMBAKKAM,85.4,3645,67.1,279,0,127,0,3140
27-11-2016,CHEMBARAMBAKKAM,85.4,3645,67.1,271,0,92,0,3120
28-11-2016,CHEMBARAMBAKKAM,85.4,3645,66.92,263,0,92,0,3125
29-11-2016,CHEMBARAMBAKKAM,85.4,3645,66.82,255,0,92,0,3132
30-11-2016,CHEMBARAMBAKKAM,85.4,3645,66.72,247,0,92,0,3126
01-12-2016,CHEMBARAMBAKKAM,85.4,3645,66.64,240,0,82,0,3141
02-12-2016,CHEMBARAMBAKKAM,85.4,3645,66.7,245,140,82,27,3396
03-12-2016,CHEMBARAMBAKKAM,85.4,3645,66.98,268,377,111,59,3094
04-12-2016,CHEMBARAMBAKKAM,85.4,3645,67,270,121,98,10,3132
05-12-2016,CHEMBARAMBAKKAM,85.4,3645,67.02,272,105,82,8,3108
06-12-2016,CHEMBARAMBAKKAM,85.4,3645,67.02,272,82,82,0,3053
07-12-2016,CHEMBARAMBAKKAM,85.4,3645,66.94,265,0,82,0,3035
08-12-2016,CHEMBARAMBAKKAM,85.4,3645,66.86,258,0,78,0,2986
09-12-2016,CHEMBARAMBAKKAM,85.4,3645,66.77,251,0,82,0,3002
10-12-2016,CHEMBARAMBAKKAM,85.4,3645,66.68,244,0,82,0,2984
11-12-2016,CHEMBARAMBAKKAM,85.4,3645,66.6,237,0,82,0,2986
12-12-2016,CHEMBARAMBAKKAM,85.4,3645,66.7,245,0,102,26,2991
13-12-2016,CHEMBARAMBAKKAM,85.4,3645,69.5,518,3291,132,214,3028
14-12-2016,CHEMBARAMBAKKAM,85.4,3645,70.6,648,1558,54,0,3075
15-12-2016,CHEMBARAMBAKKAM,85.4,3645,70.8,673,395,106,0,3123
16-12-2016,CHEMBARAMBAKKAM,85.4,3645,70.8,673,99,99,4,3169
01-11-2017,CHEMBARAMBAKKAM,85.4,3645,70.35,617,1970,60,34,569
02-11-2017,CHEMBARAMBAKKAM,85.4,3645,70.85,679,778,60,16,556
03-11-2017,CHEMBARAMBAKKAM,85.4,3645,71.4,749,876,66,69,543
04-11-2017,CHEMBARAMBAKKAM,85.4,3645,72.45,891,1716,73,49,530
05-11-2017,CHEMBARAMBAKKAM,85.4,3645,73.45,1037,1763,73,15,517
06-11-2017,CHEMBARAMBAKKAM,85.4,3645,74,1121,1045,73,21,504
07-11-2017,CHEMBARAMBAKKAM,85.4,3645,74.56,1211,1110,68,22,491
08-11-2017,CHEMBARAMBAKKAM,85.4,3645,74.99,1282,850,28,16,478
09-11-2017,CHEMBARAMBAKKAM,85.4,3645,75.25,1327,559,38,0,465
10-11-2017,CHEMBARAMBAKKAM,85.4,3645,75.35,1344,245,48,0,452
